state,year,rgn_id,rgn_name,wages_per_job,wages_avg_3yr,wages_prev_3yr,wage_growth_rate
Connecticut,2014,3,Connecticut,38584.44481138566,38778.45596777073,39166.90597785314,-0.014871258066614379
Maine,2014,7,Maine,33429.308419335015,32878.943692690766,32752.97820562571,0.020649426426606166
Rhode Island,2014,1,Rhode Island,26374.52272081795,26039.72577661695,25806.234578651656,0.0220213507102045
Massachusetts,2014,4,Massachusetts-Gulf of Maine,33562.65960150386,33313.02974510489,32847.83694693139,0.021761635499084164
Massachusetts,2014,5,Massachusetts-Virginian,26082.274783298744,25810.912686765,25572.934870857604,0.019917147367452648
New Hampshire,2014,6,New Hampshire,22353.519166267368,22071.217013910904,22472.92873384381,-0.005313484904022059
New York,2014,2,New York,31038.559086404046,30822.3358539659,30832.394571430712,0.006686620284898748
Connecticut,2015,3,Connecticut,39156.96365914787,38674.993572701154,38778.45596777073,0.009760772623121472
Maine,2015,7,Maine,34653.32178973872,33526.50106618657,32878.943692690766,0.05396700434273427
Rhode Island,2015,1,Rhode Island,27279.970333053458,26519.581377336322,26039.72577661695,0.04762894076059032
Massachusetts,2015,4,Massachusetts-Gulf of Maine,34047.376746841415,33583.913403883336,33313.02974510489,0.02204383712185276
Massachusetts,2015,5,Massachusetts-Virginian,29760.1947456807,27355.11316986929,25810.912686765,0.153008229768673
New Hampshire,2015,6,New Hampshire,24589.22866271109,22774.175554566344,22071.217013910904,0.11408576369908152
New York,2015,2,New York,31694.97716942881,31127.5155458757,30822.3358539659,0.028311978676678784
