"","Source","State","County","Year","Sector","Industry","Establishments","Employment","Wages","GDP","state","rgn_name","rgn_id"
"43","ENOW","Connecticut","Fairfield",2014,"Construction","All Industries",13,63,3947624,7176000,"Connecticut","Connecticut",3
"44","ENOW","Connecticut","Fairfield",2014,"Living Resources","All Industries",26,56,1576140,3372000,"Connecticut","Connecticut",3
"45","ENOW","Connecticut","Fairfield",2014,"Minerals","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"46","ENOW","Connecticut","Fairfield",2014,"Ship & Boat Building","All Industries",3,21,1011639,1989000,"Connecticut","Connecticut",3
"47","ENOW","Connecticut","Fairfield",2014,"Tourism & Recreation","All Industries",1224,16658,409947624,766602000,"Connecticut","Connecticut",3
"48","ENOW","Connecticut","Fairfield",2014,"Transportation","All Industries",54,589,35322017,65192000,"Connecticut","Connecticut",3
"49","ENOW","Connecticut","Fairfield",2014,"All Ocean Sectors","All Industries",1334,17977,530522793,1103769000,"Connecticut","Connecticut",3
"50","ENOW","Connecticut","Middlesex",2014,"Construction","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"51","ENOW","Connecticut","Middlesex",2014,"Living Resources","All Industries",3,17,318138,681000,"Connecticut","Connecticut",3
"52","ENOW","Connecticut","Middlesex",2014,"Minerals","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"53","ENOW","Connecticut","Middlesex",2014,"Ship & Boat Building","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"54","ENOW","Connecticut","Middlesex",2014,"Tourism & Recreation","All Industries",188,2582,62049467,111158000,"Connecticut","Connecticut",3
"55","ENOW","Connecticut","Middlesex",2014,"Transportation","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"56","ENOW","Connecticut","Middlesex",2014,"All Ocean Sectors","All Industries",210,3070,93564500,182812000,"Connecticut","Connecticut",3
"57","ENOW","Connecticut","New Haven",2014,"Construction","All Industries",10,83,4978661,9049000,"Connecticut","Connecticut",3
"58","ENOW","Connecticut","New Haven",2014,"Living Resources","All Industries",11,31,733269,1569000,"Connecticut","Connecticut",3
"59","ENOW","Connecticut","New Haven",2014,"Minerals","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"60","ENOW","Connecticut","New Haven",2014,"Ship & Boat Building","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"61","ENOW","Connecticut","New Haven",2014,"Tourism & Recreation","All Industries",822,10831,194897187,364469000,"Connecticut","Connecticut",3
"62","ENOW","Connecticut","New Haven",2014,"Transportation","All Industries",43,934,41046557,75576000,"Connecticut","Connecticut",3
"63","ENOW","Connecticut","New Haven",2014,"All Ocean Sectors","All Industries",897,12802,301024248,656533000,"Connecticut","Connecticut",3
"64","ENOW","Connecticut","New London",2014,"Construction","All Industries",6,31,2729389,4961000,"Connecticut","Connecticut",3
"65","ENOW","Connecticut","New London",2014,"Living Resources","All Industries",11,41,845781,1810000,"Connecticut","Connecticut",3
"66","ENOW","Connecticut","New London",2014,"Minerals","All Industries",8,64,3332687,19388000,"Connecticut","Connecticut",3
"67","ENOW","Connecticut","New London",2014,"Ship & Boat Building","All Industries",9,245,23818623,46834000,"Connecticut","Connecticut",3
"68","ENOW","Connecticut","New London",2014,"Tourism & Recreation","All Industries",462,7278,141667313,286979000,"Connecticut","Connecticut",3
"69","ENOW","Connecticut","New London",2014,"Transportation","All Industries",15,170,30051406,55380000,"Connecticut","Connecticut",3
"70","ENOW","Connecticut","New London",2014,"All Ocean Sectors","All Industries",510,16847,1031098933,1701874000,"Connecticut","Connecticut",3
"71","ENOW","Connecticut","All Connecticut counties",2013,"Construction","All Industries",40,268,18425616,36296000,"Connecticut","Connecticut",3
"72","ENOW","Connecticut","All Connecticut counties",2013,"Living Resources","All Industries",72,487,17384236,44495000,"Connecticut","Connecticut",3
"73","ENOW","Connecticut","All Connecticut counties",2013,"Minerals","All Industries",25,252,18486700,81018000,"Connecticut","Connecticut",3
"74","ENOW","Connecticut","All Connecticut counties",2013,"Ship & Boat Building","All Industries",20,9203,793463054,1336852000,"Connecticut","Connecticut",3
"75","ENOW","Connecticut","All Connecticut counties",2013,"Tourism & Recreation","All Industries",2669,36323,785412808,1652019000,"Connecticut","Connecticut",3
"76","ENOW","Connecticut","All Connecticut counties",2013,"Transportation","All Industries",137,3875,296702463,702036000,"Connecticut","Connecticut",3
"77","ENOW","Connecticut","All Connecticut counties",2013,"All Ocean Sectors","All Industries",2963,50410,1929874877,3852717000,"Connecticut","Connecticut",3
"78","ENOW","Connecticut","Fairfield",2013,"Construction","All Industries",11,55,3673892,7226000,"Connecticut","Connecticut",3
"79","ENOW","Connecticut","Fairfield",2013,"Living Resources","All Industries",27,55,1341872,2852000,"Connecticut","Connecticut",3
"80","ENOW","Connecticut","Fairfield",2013,"Minerals","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"81","ENOW","Connecticut","Fairfield",2013,"Ship & Boat Building","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"82","ENOW","Connecticut","Fairfield",2013,"Tourism & Recreation","All Industries",1216,15916,392160591,822805000,"Connecticut","Connecticut",3
"83","ENOW","Connecticut","Fairfield",2013,"Transportation","All Industries",57,680,38966502,70235000,"Connecticut","Connecticut",3
"84","ENOW","Connecticut","Fairfield",2013,"All Ocean Sectors","All Industries",1327,17642,551187192,1232603000,"Connecticut","Connecticut",3
"85","ENOW","Connecticut","Middlesex",2013,"Construction","All Industries",7,85,7013793,13796000,"Connecticut","Connecticut",3
"86","ENOW","Connecticut","Middlesex",2013,"Living Resources","All Industries",3,20,276847,590000,"Connecticut","Connecticut",3
"87","ENOW","Connecticut","Middlesex",2013,"Minerals","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"88","ENOW","Connecticut","Middlesex",2013,"Ship & Boat Building","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"89","ENOW","Connecticut","Middlesex",2013,"Tourism & Recreation","All Industries",190,2590,62143842,121845000,"Connecticut","Connecticut",3
"90","ENOW","Connecticut","Middlesex",2013,"Transportation","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"91","ENOW","Connecticut","Middlesex",2013,"All Ocean Sectors","All Industries",213,3072,91753695,184010000,"Connecticut","Connecticut",3
"92","ENOW","Connecticut","New Haven",2013,"Construction","All Industries",12,89,5054187,9942000,"Connecticut","Connecticut",3
"93","ENOW","Connecticut","New Haven",2013,"Living Resources","All Industries",12,29,656158,1396000,"Connecticut","Connecticut",3
"94","ENOW","Connecticut","New Haven",2013,"Minerals","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"95","ENOW","Connecticut","New Haven",2013,"Ship & Boat Building","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"96","ENOW","Connecticut","New Haven",2013,"Tourism & Recreation","All Industries",807,10679,191599015,392519000,"Connecticut","Connecticut",3
"97","ENOW","Connecticut","New Haven",2013,"Transportation","All Industries",44,914,39147783,70887000,"Connecticut","Connecticut",3
"98","ENOW","Connecticut","New Haven",2013,"All Ocean Sectors","All Industries",886,12676,297733990,652093000,"Connecticut","Connecticut",3
"99","ENOW","Connecticut","New London",2013,"Construction","All Industries",8,40,2683744,5278000,"Connecticut","Connecticut",3
"100","ENOW","Connecticut","New London",2013,"Living Resources","All Industries",9,51,984236,2093000,"Connecticut","Connecticut",3
"101","ENOW","Connecticut","New London",2013,"Minerals","All Industries",9,63,3231527,15837000,"Connecticut","Connecticut",3
"102","ENOW","Connecticut","New London",2013,"Ship & Boat Building","All Industries",8,237,21248276,44226000,"Connecticut","Connecticut",3
"103","ENOW","Connecticut","New London",2013,"Tourism & Recreation","All Industries",456,7137,139510345,314850000,"Connecticut","Connecticut",3
"104","ENOW","Connecticut","New London",2013,"Transportation","All Industries",17,188,33783251,61120000,"Connecticut","Connecticut",3
"105","ENOW","Connecticut","New London",2013,"All Ocean Sectors","All Industries",509,16822,981833498,1769203000,"Connecticut","Connecticut",3
"106","ENOW","Connecticut","All Connecticut counties",2012,"Construction","All Industries",43,281,19388000,40270000,"Connecticut","Connecticut",3
"107","ENOW","Connecticut","All Connecticut counties",2012,"Living Resources","All Industries",69,472,18582000,45155000,"Connecticut","Connecticut",3
"108","ENOW","Connecticut","All Connecticut counties",2012,"Minerals","All Industries",27,249,19361000,81604000,"Connecticut","Connecticut",3
"109","ENOW","Connecticut","All Connecticut counties",2012,"Ship & Boat Building","All Industries",17,8505,738912000,1452430000,"Connecticut","Connecticut",3
"110","ENOW","Connecticut","All Connecticut counties",2012,"Tourism & Recreation","All Industries",2502,34031,735967000,1638160000,"Connecticut","Connecticut",3
"111","ENOW","Connecticut","All Connecticut counties",2012,"Transportation","All Industries",137,4010,344502000,735490000,"Connecticut","Connecticut",3
"112","ENOW","Connecticut","All Connecticut counties",2012,"All Ocean Sectors","All Industries",2795,47551,1876712000,3993109000,"Connecticut","Connecticut",3
"113","ENOW","Connecticut","Fairfield",2012,"Construction","All Industries",12,52,3068000,6368000,"Connecticut","Connecticut",3
"114","ENOW","Connecticut","Fairfield",2012,"Living Resources","All Industries",24,45,1192000,2516000,"Connecticut","Connecticut",3
"115","ENOW","Connecticut","Fairfield",2012,"Minerals","All Industries",NA,NA,NA,NA,"Connecticut","Connecticut",3
"116","ENOW","Connecticut","Fairfield",2012,"Ship & Boat Building","All Industries",4,9,454000,1102000,"Connecticut","Connecticut",3
"117","ENOW","Connecticut","Fairfield",2012,"Tourism & Recreation","All Industries",1107,14226,354510000,793163000,"Connecticut","Connecticut",3
"118","ENOW","Connecticut","Fairfield",2012,"Transportation","All Industries",56,606,36491000,70953000,"Connecticut","Connecticut",3
"119","ENOW","Connecticut","Fairfield",2012,"All Ocean Sectors","All Industries",1221,16004,546929000,1228016000,"Connecticut","Connecticut",3
"120","ENOW","Connecticut","Middlesex",2012,"Construction","All Industries",8,94,8287000,17201000,"Connecticut","Connecticut",3
